Population,Weight,Y,Country_Region_Afghanistan,Country_Region_Albania,Country_Region_Algeria,Country_Region_Andorra,Country_Region_Angola,Country_Region_Antigua and Barbuda,Country_Region_Argentina,Country_Region_Armenia,Country_Region_Australia,Country_Region_Austria,Country_Region_Azerbaijan,Country_Region_Bahamas,Country_Region_Bahrain,Country_Region_Bangladesh,Country_Region_Barbados,Country_Region_Belarus,Country_Region_Belgium,Country_Region_Belize,Country_Region_Benin,Country_Region_Bhutan,Country_Region_Bolivia,Country_Region_Bosnia and Herzegovina,Country_Region_Botswana,Country_Region_Brazil,Country_Region_Brunei,Country_Region_Bulgaria,Country_Region_Burkina Faso,Country_Region_Burma,Country_Region_Burundi,Country_Region_Cabo Verde,Country_Region_Cambodia,Country_Region_Cameroon,Country_Region_Canada,Country_Region_Central African Republic,Country_Region_Chad,Country_Region_Chile,Country_Region_China,Country_Region_Colombia,Country_Region_Comoros,Country_Region_Congo (Brazzaville),Country_Region_Congo (Kinshasa),Country_Region_Costa Rica,Country_Region_Cote d'Ivoire,Country_Region_Croatia,Country_Region_Cuba,Country_Region_Cyprus,Country_Region_Czechia,Country_Region_Denmark,Country_Region_Diamond Princess,Country_Region_Djibouti,Country_Region_Dominica,Country_Region_Dominican Republic,Country_Region_Ecuador,Country_Region_Egypt,Country_Region_El Salvador,Country_Region_Equatorial Guinea,Country_Region_Eritrea,Country_Region_Estonia,Country_Region_Eswatini,Country_Region_Ethiopia,Country_Region_Fiji,Country_Region_Finland,Country_Region_France,Country_Region_Gabon,Country_Region_Gambia,Country_Region_Georgia,Country_Region_Germany,Country_Region_Ghana,Country_Region_Greece,Country_Region_Grenada,Country_Region_Guatemala,Country_Region_Guinea,Country_Region_Guinea-Bissau,Country_Region_Guyana,Country_Region_Haiti,Country_Region_Holy See,Country_Region_Honduras,Country_Region_Hungary,Country_Region_Iceland,Country_Region_India,Country_Region_Indonesia,Country_Region_Iran,Country_Region_Iraq,Country_Region_Ireland,Country_Region_Israel,Country_Region_Italy,Country_Region_Jamaica,Country_Region_Japan,Country_Region_Jordan,Country_Region_Kazakhstan,Country_Region_Kenya,"Country_Region_Korea, South",Country_Region_Kosovo,Country_Region_Kuwait,Country_Region_Kyrgyzstan,Country_Region_Laos,Country_Region_Latvia,Country_Region_Lebanon,Country_Region_Liberia,Country_Region_Libya,Country_Region_Liechtenstein,Country_Region_Lithuania,Country_Region_Luxembourg,Country_Region_MS Zaandam,Country_Region_Madagascar,Country_Region_Malawi,Country_Region_Malaysia,Country_Region_Maldives,Country_Region_Mali,Country_Region_Malta,Country_Region_Mauritania,Country_Region_Mauritius,Country_Region_Mexico,Country_Region_Moldova,Country_Region_Monaco,Country_Region_Mongolia,Country_Region_Montenegro,Country_Region_Morocco,Country_Region_Mozambique,Country_Region_Namibia,Country_Region_Nepal,Country_Region_Netherlands,Country_Region_New Zealand,Country_Region_Nicaragua,Country_Region_Niger,Country_Region_Nigeria,Country_Region_North Macedonia,Country_Region_Norway,Country_Region_Oman,Country_Region_Pakistan,Country_Region_Panama,Country_Region_Papua New Guinea,Country_Region_Paraguay,Country_Region_Peru,Country_Region_Philippines,Country_Region_Poland,Country_Region_Portugal,Country_Region_Qatar,Country_Region_Romania,Country_Region_Russia,Country_Region_Rwanda,Country_Region_Saint Kitts and Nevis,Country_Region_Saint Lucia,Country_Region_Saint Vincent and the Grenadines,Country_Region_San Marino,Country_Region_Sao Tome and Principe,Country_Region_Saudi Arabia,Country_Region_Senegal,Country_Region_Serbia,Country_Region_Seychelles,Country_Region_Sierra Leone,Country_Region_Singapore,Country_Region_Slovakia,Country_Region_Slovenia,Country_Region_Somalia,Country_Region_South Africa,Country_Region_South Sudan,Country_Region_Spain,Country_Region_Sri Lanka,Country_Region_Sudan,Country_Region_Suriname,Country_Region_Sweden,Country_Region_Switzerland,Country_Region_Syria,Country_Region_Taiwan*,Country_Region_Tajikistan,Country_Region_Tanzania,Country_Region_Thailand,Country_Region_Timor-Leste,Country_Region_Togo,Country_Region_Trinidad and Tobago,Country_Region_Tunisia,Country_Region_Turkey,Country_Region_US,Country_Region_Uganda,Country_Region_Ukraine,Country_Region_United Arab Emirates,Country_Region_United Kingdom,Country_Region_Uruguay,Country_Region_Uzbekistan,Country_Region_Venezuela,Country_Region_Vietnam,Country_Region_West Bank and Gaza,Country_Region_Western Sahara,Country_Region_Yemen,Country_Region_Zambia,Country_Region_Zimbabwe
34774.0,0.09563289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2061.0,0.13103701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87839.0,0.0878482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
188910.0,0.08231109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26248.0,0.0982764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87607.0,0.087868616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15165.0,0.10387655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10650.0,0.10783521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152882.0,0.08377014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6576.0,0.11374838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
